,y_obs
352,-3.5382462832478895e-13
353,-3.2634704039550875e-13
354,-3.813989584417642e-13
355,-2.2266910284456107e-13
356,-1.1076339736144237e-13
357,3.955545694022619e-14
358,-2.1943037889505933e-14
359,-1.055342259471272e-13
360,-1.667726814085587e-14
361,4.623991520890893e-15
362,-5.70315270731478e-14
363,-1.0020145607110544e-13
364,1.772014429523222e-13
365,7.592451718728523e-14
366,-1.7069812435537992e-13
367,-1.7554993692684982e-13
368,1.777517331664642e-14
369,-1.4596125874095587e-13
370,-9.461570460656621e-14
371,-1.934552351146208e-14
