,t,OF,OF_Hb,IF_Hb,S_in,IF_Hb_Sb,H_in,IF_Sb,OF_Sb,IF,OF_Hb_Sb
24,0.02400160010667378,4.697690371659214e-09,4.720343868198719e-09,4.8683159451309675e-09,0.0009999733812380163,4.870018358654997e-08,1.062485783980362e-07,4.5886911187715955e-08,4.694655504076092e-08,2.125e-08,2.125e-08
25,0.02500166677778519,4.69053443892887e-09,4.713135049310789e-09,4.871567956141996e-09,0.0009999733998136751,4.87331961158311e-08,1.0619699020982932e-07,4.593542594031819e-08,4.687614049948539e-08,2.125e-08,2.125e-08
26,0.026001733448896596,4.6843823906534954e-09,4.706939344712944e-09,4.874309405413031e-09,0.0009999734188353188,4.8761023965233007e-08,1.0615014071682708e-07,4.5977738110926574e-08,4.681560678307877e-08,2.125e-08,2.125e-08
27,0.027001800120008003,4.67911758456034e-09,4.7015845986299826e-09,4.876598191100289e-09,0.0009999734382378403,4.878426256032869e-08,1.0610749960029087e-07,4.601457638250309e-08,4.676386068289607e-08,2.125e-08,2.125e-08
28,0.02800186679111941,4.674597946200879e-09,4.696984760608315e-09,4.8785121812644925e-09,0.0009999734579596265,4.880370150207292e-08,1.0606833887217178e-07,4.604675784842939e-08,4.6719445761442785e-08,2.125e-08,2.125e-08
29,0.029001933462230817,4.670743859087137e-09,4.693055727924453e-09,4.88009205867188e-09,0.0009999734779605736,4.8819756026827576e-08,1.060322834002224e-07,4.607477009379379e-08,4.668158223371349e-08,2.125e-08,2.125e-08
30,0.030002000133342227,4.667445354718897e-09,4.689685091528211e-09,4.8813897102247714e-09,0.0009999734981804367,4.883293912786322e-08,1.0599888043607185e-07,4.6099351265859916e-08,4.6649189449822935e-08,2.125e-08,2.125e-08
31,0.031002066804453634,4.664639807801651e-09,4.686822707685866e-09,4.882436508272533e-09,0.0009999735185884325,4.8843564044589175e-08,1.0596784752365054e-07,4.6120898916229564e-08,4.662163801543917e-08,2.125e-08,2.125e-08
32,0.03200213347556504,4.662249230664578e-09,4.6843792894030315e-09,4.883273512047929e-09,0.0009999735391452642,4.8852063007996835e-08,1.059387917286186e-07,4.6139864204774984e-08,4.659817075513062e-08,2.125e-08,2.125e-08
33,0.03300220014667645,4.660220916763124e-09,4.6822987862399765e-09,4.883926840939878e-09,0.0009999735598232654,4.885870507498705e-08,1.059114716603399e-07,4.6156576577552073e-08,4.657827180353605e-08,2.125e-08,2.125e-08
34,0.034002266817787855,4.658502028466226e-09,4.680527661473517e-09,4.88442411818071e-09,0.0009999735805964751,4.886376545154557e-08,1.0588563807411151e-07,4.6171359497433335e-08,4.6561421242919025e-08,2.125e-08,2.125e-08
